news_source,share_of_not_news
FOX News,0.5472073659584799
Google,0.4867231546870747
Huffington Post,0.656007791376001
NYT,0.37228329898397783
USA Today,0.6456858946058789
WaPo,0.5788193113973805
WSJ,0.5400784764927963
Yahoo,0.5312420442224751
